,Names,Price,Minimum Orders,Total Sold,Supplier Name,Supplier's Experience,Supplier Country,Supplier Rating
0,2024 S24 Ultra Cellphone Original 16GB+1TB Smartphone 7inch Unlocked Dual Card 4G&5G Phones Android 13.0 Mobile Phones,US$48-54.47,Min. order: 1 piece,27 sold,Minqing Hui Wangcai Cross-Border E-Commerce Store (individual Business)1  yrCN3.6/5.0 (249),1  yr,CN,3.6/5.0 (249)
1,Original Phones S25 ultra Smartphones for S24 ultra 16GB+1TB 5G Dual SIM Cellphone Mobile Phone S25 ultra 5g Smartphone,US$88-98,Min. order: 1 piece,2 sold,Shantou Chenghai Sansong Trading Firm1  yrCN3.2/5.0 (32),1  yr,CN,3.2/5.0 (32)
2,Hot-selling Camon 30 Pro Original 6.8-inch Large Screen 16 GB +1 Tb 6800 Mah Android 14 Global 5g Smartphone,US$36-38,Min. order: 1 piece,18 sold,"Chifu Network Technology (xuzhou) Co., Ltd.3 yrsCN4.4/5.0 (125)",3 yrs,CN,4.4/5.0 (125)
3,Guarantee Genuine for Google Pixel 6pro12+256GB 6.7 Inch Original Used Unclocked Flagship Long Standby Global Used Mobile Phones,US$83-180,Min. order: 1 piece,N/A,"Hangzhou Tuowei Magic Cube Artificial Intelligence Co., Ltd.1  yrCN4.0/5.0 (351)",1  yr,CN,4.0/5.0 (351)
4,Wholesale 1:1 Mobile Phone 106 2G 2MP Dual Sim Card Elderly Student Value Straight Button Mobile Phone,US$3.80-4.80,Min. order: 1 box,9 sold,"Shenzhen Taishixing Technology Co., Ltd.2 yrsCN4.5/5.0 (45)",2 yrs,CN,4.5/5.0 (45)
5,"2.8"" 4G LTE Android Whatsapp Wi Fi Touch Screen Mobile Phone Facebook Youtube Bar Button Feature Phone",US$16.95,"Min. order: 5,000 pieces",6 sold,"Shenzhen Vitek Electronics Co., Ltd.15 yrsCN4.9/5.0 (47)",15 yrs,CN,4.9/5.0 (47)
6,Android S24 Ultra Phone Smartphone 16+1TB Mobile Phone Cell Gaming Phone 5G Smartphone 3G&4G Smartphone 2024 Original,US$89-145,Min. order: 1 piece,2 sold,"Guizhou Xiongpeng International Trade Co., Ltd.1  yrCN3.6/5.0 (117)",1  yr,CN,3.6/5.0 (117)
7,Portable Mobile Cell Phone BM10 Pockets Tiny Keypad MP3/4 Dual SIM Bt World Smallest Phone Unlocked L8Star BM10 Mini Phone,US$4.99-6.49,Min. order: 1 piece,109 sold,"Guangzhou Jianniobium Digital Co., Ltd.2 yrsCN4.2/5.0 (181)",2 yrs,CN,4.2/5.0 (181)
8,For for Galaxy S25 Ultra 1TB Large Memory Original 5G Smartphone with LTE Cellular Price for All Type Mobile Phone Users,US$78,Min. order: 1 piece,39 sold,"Hangzhou Huayu Jing Technology Co., Ltd.1  yrCN4.4/5.0 (4)",1  yr,CN,4.4/5.0 (4)
9,Google Pixel 9 Pixel 9 Pro XL Pixel 9 Pro Fold 9gen 16G 128GB 256GB 512GB 1TB 6.3inch 6.8inch Android Smart Mobile Phone,"US$564-2,180",Min. order: 1 piece,N/A,"Menn Industries Co., Ltd.17 yrsCN4.9/5.0 (25)",17 yrs,CN,4.9/5.0 (25)
10,Factory Sales 4 Four Sim Cards Big Battery Shockproof Feature Phone Unlocked Cell Phones Button Keypad Mobile Phone,US$11.99-16.99,Min. order: 2 pieces,6 sold,"Shenzhen Dongxin Trading Co., Ltd.6 yrsCN4.7/5.0 (78)",6 yrs,CN,4.7/5.0 (78)
11,Hot Used Wholesale Cheap Price Mobile Phone Smart Phone 6 Plus 7plus 8 X XS XSMAX XR Original Unlocked U Sed Cell Phones,US$222.50-285.50,Min. order: 10 pieces,N/A,CT TELECOM LIMITED1  yrHK,1  yr,HK,N/A
